year,sector,data_category,data_type,data_value,unit,data_source,area
1993,Agriculture,Livestock,Poultry Broilers,8564671.718742386,Number,,Mainland
1993,Agriculture,Livestock,Poultry Layers,7684553.564777715,Number,,Mainland
1993,Agriculture,Livestock,Poultry Indigenous,10480774.716479897,Number,,Mainland
1994,Agriculture,Livestock,Mature Dairy cattle,398455.2,Number,,Mainland
1994,Agriculture,Livestock,Other Cattle,12883384.8,Number,,Mainland
1994,Agriculture,Livestock,Mature Sheep,3518766.9,Number,,Mainland
1994,Agriculture,Livestock,Mature Goats,9623384.1,Number,,Mainland
1994,Agriculture,Livestock,Mature Swine,331650,Number,,Mainland
1994,Agriculture,Livestock,Poultry Broilers,7932097.622577275,Number,,Mainland
1994,Agriculture,Livestock,Poultry Layers,5846021.11344643,Number,,Mainland
1994,Agriculture,Livestock,Poultry Indigenous,9981881.263976295,Number,,Mainland
1995,Agriculture,Livestock,Mature Dairy cattle,464650.56,Number,,Mainland
1995,Agriculture,Livestock,Other Cattle,15023701.44,Number,,Mainland
1995,Agriculture,Livestock,Mature Sheep,3458099.7,Number,,Mainland
1995,Agriculture,Livestock,Mature Goats,10575576,Number,,Mainland
1995,Agriculture,Livestock,Mature Swine,346500,Number,,Mainland
1995,Agriculture,Livestock,Poultry Broilers,8761549.604995487,Number,,Mainland
1995,Agriculture,Livestock,Poultry Layers,7109180.142099077,Number,,Mainland
1995,Agriculture,Livestock,Poultry Indigenous,10813730.252905436,Number,,Mainland
1996,Agriculture,Livestock,Mature Dairy cattle,404053.65,Number,,Mainland
1996,Agriculture,Livestock,Other Cattle,13064401.35,Number,,Mainland
1996,Agriculture,Livestock,Mature Sheep,3516856.2,Number,,Mainland
1996,Agriculture,Livestock,Mature Goats,10258281,Number,,Mainland
1996,Agriculture,Livestock,Mature Swine,366300,Number,,Mainland
1996,Agriculture,Livestock,Poultry Broilers,8223813.536228721,Number,,Mainland
1996,Agriculture,Livestock,Poultry Layers,7057720.133630513,Number,,Mainland
1996,Agriculture,Livestock,Poultry Indigenous,9468466.330140766,Number,,Mainland
1997,Agriculture,Livestock,Mature Dairy cattle,406881.08999999997,Number,,Mainland
1997,Agriculture,Livestock,Other Cattle,13155821.91,Number,,Mainland
1997,Agriculture,Livestock,Mature Sheep,3515737.5,Number,,Mainland
1997,Agriculture,Livestock,Mature Goats,10587258,Number,,Mainland
1997,Agriculture,Livestock,Mature Swine,386100,Number,,Mainland
1997,Agriculture,Livestock,Poultry Broilers,9912553.977119425,Number,,Mainland
1997,Agriculture,Livestock,Poultry Layers,6791786.441557278,Number,,Mainland
1997,Agriculture,Livestock,Poultry Indigenous,9035659.581323298,Number,,Mainland
1998,Agriculture,Livestock,Mature Dairy cattle,409729.32,Number,,Mainland
1998,Agriculture,Livestock,Other Cattle,13247914.68,Number,,Mainland
1998,Agriculture,Livestock,Mature Sheep,3514519.8,Number,,Mainland
1998,Agriculture,Livestock,Mature Goats,10924155,Number,,Mainland
1998,Agriculture,Livestock,Mature Swine,405900,Number,,Mainland
1998,Agriculture,Livestock,Poultry Broilers,10033779.539951818,Number,,Mainland
1998,Agriculture,Livestock,Poultry Layers,7630736.970036379,Number,,Mainland
1998,Agriculture,Livestock,Poultry Indigenous,9065483.490011802,Number,,Mainland
1999,Agriculture,Livestock,Mature Dairy cattle,512347.63139999995,Number,,Mainland
1999,Agriculture,Livestock,Other Cattle,16565906.748599999,Number,,Mainland
1999,Agriculture,Livestock,Mature Sheep,3453644.7,Number,,Mainland
1999,Agriculture,Livestock,Mature Goats,11526570,Number,,Mainland
1999,Agriculture,Livestock,Mature Swine,441874.62,Number,,Mainland
1999,Agriculture,Livestock,Poultry Broilers,9482837.56184061,Number,,Mainland
1999,Agriculture,Livestock,Poultry Layers,8852458.281227795,Number,,Mainland
1999,Agriculture,Livestock,Poultry Indigenous,9362924.156931594,Number,,Mainland
2000,Agriculture,Livestock,Mature Dairy cattle,496376.1,Number,,Mainland
